,Brand,Year,Model,Title,UsedOrNew,Transmission,FuelType,Kilometres,CylindersinEngine,BodyType,Price,Colour
128,Mazda,2009,3,Mazda 3 Maxx,USED,Automatic,Unleaded,70661,4,Hatchback,14995,White
129,Mitsubishi,2014,Triton,Mitsubishi Triton GLX,USED,Automatic,Diesel,215100,4,Ute / Tray,18995,White
130,Volkswagen,2014,Golf,Volkswagen Golf 90,USED,Automatic,Premium,155036,4,Hatchback,14990,Black
131,BMW,2012,M135I,BMW M135I,USED,Automatic,Premium,67678,6,Hatchback,29950,Grey
132,Holden,2015,Commodore,Holden Commodore SV6,USED,Automatic,Unleaded,133934,6,Wagon,22999,White
133,Volkswagen,2008,Golf,Volkswagen Golf GTI,USED,Automatic,Premium,174915,4,Hatchback,14990,Silver
134,Holden,2014,Cruze,Holden Cruze Equipe,USED,Automatic,Unleaded,117000,4,Sedan,7888,Silver
135,Hyundai,2018,Imax,Hyundai Imax Active,USED,Automatic,Diesel,190176,4,Wagon,27990,Grey
136,Mitsubishi,2013,Triton,Mitsubishi Triton GLX,USED,Manual,Diesel,231675,4,Ute / Tray,19800,White
137,BMW,2021,330I,BMW 330I M,USED,Automatic,Premium,23332,4,Sedan,67988,Black
138,Volkswagen,2018,Golf,Volkswagen Golf 110,USED,Automatic,Premium,130647,4,Wagon,21880,White
139,Audi,2019,Q3,Audi Q3 35,USED,Automatic,Premium,47307,4,SUV,41888,White
140,Nissan,2005,Elgrand,Nissan Elgrand Highway,USED,Automatic,Unleaded,69619,4,Commercial,17900,Black
141,Toyota,2009,Estima,Toyota Estima X,USED,Automatic,Unleaded,128647,4,Commercial,18900,Silver
142,Subaru,2016,Outback,Subaru Outback 2.5I,USED,Automatic,Premium,74983,4,SUV,29990,Silver
143,Mazda,2007,6,Mazda 6 Classic,USED,Manual,Premium,102496,4,Hatchback,7920,Black
144,Hyundai,2015,Accent,Hyundai Accent Active,USED,Automatic,Unleaded,84924,4,Hatchback,14999,Silver
145,Land,2013,Rover,Land Rover Discovery,USED,Automatic,Diesel,159558,6,SUV,38950,White
146,Mercedes-Benz,2014,B-Class,Mercedes-Benz B-Class B200,USED,Automatic,Premium,98296,4,Hatchback,16999,Black
147,Ford,2013,Focus,Ford Focus Ambiente,USED,Automatic,Unleaded,67590,4,Hatchback,12990,Silver
148,Kia,2017,Sportage,Kia Sportage GT-Line,USED,Automatic,Unleaded,65502,4,SUV,29990,White
149,Porsche,2010,Cayenne,Porsche Cayenne S,USED,Automatic,Premium,193271,8,SUV,29990,White
150,Porsche,2016,Cayman,Porsche Cayman GT4,USED,Manual,Premium,23481,6,Coupe,214880,White
151,Ford,2007,Territory,Ford Territory SR,USED,Automatic,Unleaded,173839,6,SUV,8950,White
152,Suzuki,2017,Swift,Suzuki Swift Sport,USED,Automatic,Premium,55794,4,Hatchback,26280,Yellow
153,Nissan,2016,Navara,Nissan Navara SL,USED,Automatic,Diesel,258936,4,Ute / Tray,21290,White
154,Toyota,2009,Estima,Toyota Estima X,USED,Automatic,Unleaded,106208,4,Commercial,22900,Blue
155,Toyota,2013,RAV4,Toyota RAV4 Cruiser,USED,Automatic,Diesel,292134,4,SUV,14995,Grey
156,Toyota,2008,Hilux,Toyota Hilux SR5,USED,Automatic,Diesel,251000,4,Ute / Tray,21290,White
157,Mazda,2014,3,Mazda 3 Maxx,USED,Automatic,Unleaded,130242,4,Hatchback,16388,Brown
158,Hyundai,2021,Venue,Hyundai Venue Elite,USED,Automatic,Unleaded,35024,4,SUV,26990,White
159,BMW,2015,X1,BMW X1 Xdrive,USED,Automatic,Diesel,44145,4,SUV,32000,White
160,BMW,2021,330I,BMW 330I M,USED,Automatic,Premium,29567,4,Sedan,67988,Black
161,Mazda,2007,6,Mazda 6 Classic,USED,Automatic,Premium,223898,4,Hatchback,7600,Black
162,Hyundai,2013,Veloster,Hyundai Veloster +,USED,Automatic,Unleaded,155244,4,Hatchback,17990,White
163,Toyota,2017,Camry,Toyota Camry Altise,USED,Automatic,Unleaded,149988,4,Sedan,19950,Grey
164,Mitsubishi,2011,Lancer,Mitsubishi Lancer ES,USED,Automatic,Unleaded,205373,4,Hatchback,9990,Red
165,BMW,2020,M4,BMW M4 Competition,USED,Automatic,Premium,2858,6,Coupe,129988,White
166,Suzuki,2011,Swift,Suzuki Swift GL,USED,Automatic,Unleaded,201011,4,Hatchback,7999,Grey
167,Ford,2008,Transit,Ford Transit,USED,Manual,Diesel,305593,4,Commercial,9995,White
168,Toyota,2009,Estima,Toyota Estima X,USED,Automatic,Unleaded,165589,4,Commercial,19900,Black
169,Peugeot,2017,308,Peugeot 308 Active,USED,Automatic,Premium,57217,3,Hatchback,16990,Silver
170,Holden,2017,Trax,Holden Trax LT,USED,Automatic,Unleaded,83147,4,SUV,17888,Blue
171,Mitsubishi,2015,Triton,Mitsubishi Triton GLX,USED,Automatic,Diesel,204000,4,Ute / Tray,18995,White
172,Subaru,2013,Forester,Subaru Forester 2.0I,USED,Manual,Unleaded,122077,4,SUV,16857,Red
173,Mazda,2015,CX-3,Mazda CX-3 S,USED,Automatic,Unleaded,60581,4,SUV,22990,Blue
174,Nissan,2010,Navara,Nissan Navara RX,USED,Manual,Diesel,259488,4,Ute / Tray,13950,White
175,Holden,2017,Captiva,Holden Captiva Active,USED,Automatic,Unleaded,186954,4,SUV,12990,Grey
176,Kia,2017,Cerato,Kia Cerato S,USED,Automatic,Unleaded,21350,4,Hatchback,22990,Red
177,Audi,2016,RS3,Audi RS3 Sportback,USED,Automatic,Premium,47926,5,Hatchback,59990,White
178,Mitsubishi,2014,Triton,Mitsubishi Triton GL,USED,Manual,Diesel,88861,4,Ute / Tray,21880,White
179,Mercedes-Benz,2018,C200,Mercedes-Benz C200,USED,Automatic,Hybrid,72540,4,Sedan,39990,Blue
180,Toyota,2020,Corolla,Toyota Corolla ZR,USED,Automatic,Hybrid,87043,4,Hatchback,39990,Blue
181,Ford,2012,Ranger,Ford Ranger XLT,USED,Manual,Diesel,254121,5,Ute / Tray,21990,White
182,Honda,2008,Civic,Honda Civic Type,USED,Manual,Premium,165450,4,Hatchback,18990,Silver
183,Honda,2022,CR-V,Honda CR-V VTI,USED,Automatic,Unleaded,15087,4,SUV,39990,White
184,Nissan,2013,Navara,Nissan Navara ST,USED,Automatic,Diesel,159056,4,Ute / Tray,21990,White
185,Hyundai,2017,Tucson,Hyundai Tucson Highlander,USED,Automatic,Diesel,97295,4,SUV,31990,White
186,Mazda,2015,CX-5,Mazda CX-5 Akera,USED,Automatic,Unleaded,83095,4,SUV,26990,Red
187,Toyota,2015,HiAce,Toyota HiAce GL,USED,Automatic,Unleaded,167379,4,Commercial,32900,White
188,Isuzu,2017,D-MAX,Isuzu D-MAX LS-M,USED,Automatic,Diesel,192988,4,Ute / Tray,28999,White
189,Mercedes-Benz,2014,A200,Mercedes-Benz A200 CDI,USED,Automatic,Diesel,105663,4,Hatchback,22500,Blue
190,Toyota,2007,HiAce,Toyota HiAce LWB,USED,Manual,Unleaded,222603,4,Commercial,17990,White
191,Ford,2020,Puma,Ford Puma,USED,Automatic,Premium,22300,3,SUV,27800,Blue
192,Mazda,2022,2,Mazda 2 G15,USED,Automatic,Unleaded,11824,4,Hatchback,29990,Grey
193,Toyota,2007,Corolla,Toyota Corolla Ascent,USED,Automatic,Unleaded,250318,4,Hatchback,10990,Silver
194,Jeep,2016,Grand,Jeep Grand Cherokee,USED,Automatic,Premium,39967,6,SUV,34800,White
195,Hyundai,2020,Tucson,Hyundai Tucson Active,USED,Automatic,Unleaded,38341,4,SUV,28984,Blue
